Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-17 11:17:03	 205 	c1254 	2311 	 11 	 10110100 	 180 	 1656880 	 225	 197	 192	 313	 36	 355	 
2019-05-17 11:17:15	 273 	c1254 	2312 	 17 	 10111000 	 184 	 1788472 	 225	 197	 192	 313	 37	 355	 
2019-05-17 11:18:58	 761 	c1254 	2313 	 23 	 01110100 	 116 	 2916976 	 225	 197	 193	 313	 37	 356	 
2019-05-17 11:18:59	 628 	c1254 	2314 	 29 	 01110100 	 116 	 2926624 	 225	 197	 194	 313	 37	 356	 
2019-05-17 11:19:13	   8 	c1254 	2315 	 42 	 01111000 	 120 	 3073528 	 225	 197	 194	 314	 37	 356	 
2019-05-17 11:20:06	 458 	c1254 	2317 	 53 	 01110100 	 116 	 3656104 	 225	 197	 195	 314	 37	 357	 
2019-05-17 11:20:19	 427 	c1254 	2318 	 64 	 01111000 	 120 	 3797680 	 225	 197	 195	 315	 37	 357	 
2019-05-17 11:20:53	 750 	c1254 	2319 	 74 	 10110100 	 180 	 4171792 	 225	 198	 195	 315	 37	 358	 
2019-05-17 11:21:16	 848 	c1254 	2321 	 82 	 01111000 	 120 	 4423768 	 225	 198	 195	 316	 37	 358	 
2019-05-17 11:24:31	 219 	c1254 	2323 	 94 	 10110100 	 180 	 6546184 	 225	 199	 195	 316	 37	 359	 
2019-05-17 11:24:44	 560 	c1254 	2324 	 104 	 01111000 	 120 	 6691288 	 225	 199	 195	 317	 37	 359	 
2019-05-17 11:24:44	1010 	c1254 	2325 	 109 	 10110100 	 180 	 6695536 	 225	 200	 195	 317	 37	 360	 
2019-05-17 11:25:44	 182 	c1254 	2327 	 116 	 01110100 	 116 	 7342624 	 225	 200	 196	 317	 37	 361	 
2019-05-17 11:25:56	  49 	c1254 	2329 	 128 	 10111000 	 184 	 7472344 	 225	 200	 196	 317	 38	 361	 
2019-05-17 11:37:23	 342 	c1254 	2330 	 133 	 11110100 	 244 	 14971672 	 226	 200	 196	 317	 38	 361	 
2019-05-17 11:37:37	1041 	c1254 	2331 	 139 	 01111000 	 120 	 15131032 	 226	 200	 196	 318	 38	 361	 
2019-05-17 11:38:20	 716 	c1254 	2332 	 145 	 10110100 	 180 	 15597088 	 226	 201	 196	 318	 38	 362	 
2019-05-17 11:38:34	 818 	c1254 	2333 	 151 	 01111000 	 120 	 15750808 	 226	 201	 196	 319	 38	 362	 
2019-05-17 11:39:57	 797 	c1254 	2336 	 163 	 01110100 	 116 	 16656280 	 226	 201	 197	 319	 38	 363	 
2019-05-17 11:42:49	 152 	c1254 	2337 	 168 	 10101000 	 168 	 1748832 	 227	 201	 197	 319	 38	 363	 
2019-05-17 11:56:28	 640 	c1254 	2338 	 172 	 10101000 	 168 	 10687128 	 228	 201	 197	 319	 38	 363	 
2019-05-17 11:56:36	 469 	c1254 	2339 	 176 	 10101000 	 168 	 10772784 	 229	 201	 197	 319	 38	 363	 
2019-05-17 11:58:02	 993 	c1254 	2340 	 180 	 10101000 	 168 	 11715816 	 230	 201	 197	 319	 38	 363	 
2019-05-17 12:01:22	 837 	c1254 	2341 	 184 	 10101000 	 168 	 13896240 	 231	 201	 197	 319	 38	 363	 
2019-05-17 12:20:14	 203 	c1254 	2343 	 190 	 10101000 	 168 	 9476288 	 232	 201	 197	 319	 38	 363	 
