Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
2019-05-10 09:43:24	1139 	c1254 	1648 	 156 	 01110100 	 116 	 7210368 	 66	 107	 93	 182	 7	 179	 
2019-05-10 09:43:48	 603 	c1254 	1649 	 163 	 01111000 	 120 	 7465224 	 66	 107	 93	 183	 7	 179	 
2019-05-10 09:44:26	 316 	c1254 	1650 	 173 	 01110100 	 116 	 7874088 	 66	 107	 94	 183	 7	 180	 
2019-05-10 09:44:32	 767 	c1254 	1651 	 179 	 01111000 	 120 	 7943304 	 66	 107	 94	 184	 7	 180	 
2019-05-10 09:45:03	1023 	c1254 	1652 	 189 	 01110100 	 116 	 8281392 	 66	 107	 95	 184	 7	 181	 
2019-05-10 09:45:11	 485 	c1254 	1653 	 195 	 01111000 	 120 	 8362968 	 66	 107	 95	 185	 7	 181	 
2019-05-10 09:45:30	 298 	c1254 	1654 	 201 	 10110100 	 180 	 8567016 	 66	 108	 95	 185	 7	 182	 
2019-05-10 09:45:37	 230 	c1254 	1655 	 207 	 10111000 	 184 	 8642208 	 66	 108	 95	 185	 8	 182	 
2019-05-10 09:46:07	 158 	c1254 	1656 	 215 	 10110100 	 180 	 8966448 	 66	 109	 95	 185	 8	 183	 
2019-05-10 09:46:14	 988 	c1254 	1657 	 221 	 01111000 	 120 	 9050112 	 66	 109	 95	 186	 8	 183	 
2019-05-10 09:48:05	 297 	c1254 	1658 	 227 	 01110100 	 116 	 10246080 	 66	 109	 96	 186	 8	 184	 
2019-05-10 09:48:11	 800 	c1254 	1659 	 233 	 01111000 	 120 	 10315800 	 66	 109	 96	 187	 8	 184	 
2019-05-10 09:49:09	 864 	c1254 	1660 	 239 	 01110100 	 116 	 10944792 	 66	 109	 97	 187	 8	 185	 
2019-05-10 09:49:17	 228 	c1254 	1661 	 254 	 01111000 	 120 	 11025480 	 66	 109	 97	 188	 8	 185	 
2019-05-10 09:50:04	 270 	c1254 	1662 	 8 	 10110100 	 180 	 11535048 	 66	 110	 97	 188	 8	 186	 
2019-05-10 09:50:09	 704 	c1254 	1663 	 17 	 11111000 	 248 	 11593296 	 67	 110	 97	 188	 8	 186	 
2019-05-10 09:54:08	1062 	c1254 	1665 	 33 	 10110100 	 180 	 14186664 	 67	 111	 97	 188	 8	 187	 
2019-05-10 09:54:17	 139 	c1254 	1666 	 38 	 11111000 	 248 	 14275512 	 68	 111	 97	 188	 8	 187	 
2019-05-10 09:54:45	 514 	c1254 	1667 	 50 	 01110100 	 116 	 14582472 	 68	 111	 98	 188	 8	 188	 
2019-05-10 09:55:00	 301 	c1254 	1669 	 62 	 11111000 	 248 	 14743008 	 69	 111	 98	 188	 8	 188	 
2019-05-10 09:57:40	 609 	c1254 	1670 	 68 	 01110100 	 116 	 16480248 	 69	 111	 99	 188	 8	 189	 
2019-05-10 09:57:55	 445 	c1254 	1671 	 75 	 01111000 	 120 	 16641288 	 69	 111	 99	 189	 8	 189	 
2019-05-10 09:58:24	1144 	c1254 	1672 	 87 	 01110100 	 116 	 185048 	 69	 111	 100	 189	 8	 190	 
2019-05-10 09:58:32	1100 	c1254	6602 bytes to file.
Date	 Hmsec	 CounterID	 EventID	 CounterMsgID	 Status(bin)	 Status(dec)	 Timer[s/12000]	 Unclear	 Entry	 LookIn	 Exit	 LookOut	 Visits
