FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,numberTrapAttemptsM,maleID,maleColourRing,pitIDM,numberTrapAttemptsF,femaleID,femaleColourRing,pitIDF,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137
,MW,50,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW50,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,51,1,GRETI,YN6,01/05/2019,,34,41,1,5.4,3,38,,8,1,41,52,54,1,0,65,NA,NA,,,,,011016FA81,,,,011016F72A,68,68,6,0,6,2,,0,,104,MW51,,,,,,,,,,,,,,EN1/CO/NP/GRETI?,,,,EN5/CO/EW5.4(3)/NP,,,,,EN8/WA/NP,,,,,FP/ND/FX/IB1I/DRY/12:35,FP/FX/IB1R,,,,EN3+/FP/YN0/ND/GRETI,,FP/FX/YN2+(2)/ND,NP/YN7?(3),INC,,,,,YN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,52,1,GRETI,YN7,15/05/2019,MATERIAL USED 2,50,56,1,5.4,3,53,,7,1,56,67,70,1,0,81,80,80,,,TV35490,,011016F4AD,,Z066458,,011016FD16,84,83,7,0,7,0,,0,,104,MW52,,,,,,,,,,,,,,NC/MA,MA,,,NC/MA,,,,,N4,,,,,N4/MU(2),,,,,EN4/EW5.4(3)/CO/NP,,,,,,FP/FL/EN7/WA/GRETI,,,,,,,,,,,FP/YN1+(1)/FX,,,,,,YN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,53,1,,NC,28/04/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,MW53,,,,,,,,,,,,,,N0,,,,NC/MA,,,,,NC,,,,,NC,,,,,NC,,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,54,,,N0,28/04/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,MW54,,,,,,,,,,,,,,N0,,,,n0,,,,,N0,,,,,N0,,,,,N0,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,55,1,GRETI,YN6/EN2,10/05/2019,MATERIAL USED 10+ THEN 1?,41,49,1,4.9,3,43,,8,1,49,60,63,1,2,74,,,,,Z066412,,0110173AAF,,Z066291,,,77,77,6,0,4,1,,2,"TV34406, TV34410",104,MW55,,,,,,,,,,,,,,N4,MA,,,N4/MU(2),,,,,EN3/EW4.9(3)/CO/MP/MU(10+),,,,,EN8/WA/NP/MU(1),,,,,FP/EN?/FX/GRETI,,,,INC,,,,FP/EN8/GRETI/FX,FP/FX/EN8/GRETI,FP/FX/YN2+(1)/EN2+/11:35,FP/FA/EN2+/YN4+/IBI(3)/9:52,,,,,,,YN6/EN2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,56,1,GRETI,YX4,16/05/2019,,51,57,1,5.3,3,53,,7,1,57,68,69,1,,80,NA,NA,,,Z066325,,011016F9DA,,D198460,,01103F706A,83,NA,,na,NA,,,,,,MW56,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,MISSED,N4,,,,EN3/EW5.3(3)/CO/NP/MA LOOSE,,,,FP/EN7/FX/GRETI,,,,,,,,,,,,,FP/YN3+(2)/FX,,,,,,YN4,YX4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,58,,,N0,02/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW58,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,,N0,,,MISSED,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,59,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW59,,,,,,,,,,,,,,N0-HORNET NEST,,,,HORNEY NEST,,,,,N0,,,,,N0,,,,,N0,,,,,,N0,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,60,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,MW60,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,,N0,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,61,1,BLUTI,YN6,14/05/2019,MATERIAL USED 2,49,unk,0,,,,,unk,1,55,66,68,1,0?,78,unk,NA,,,no male?,,,,,,01103F6FA0,80,80,7,0,2,unk,,5,"Y584140,143,144,145,146",104,MW61,,,,,,,,,,,,,,N0,,,,N0,,,,,N1/MA LOOSE,,,,,N4,,,,,EN5/CO/NP/MU(2)/BLUT?,,,,,FP/FX/EN2+/BLUTI,FP/FX/EN2+/BLUTI,,,,,,,FP/EN4+/BLUTI,,,,,,,,,YN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,62,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,MW62,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,N0,N0,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,63,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,MW63,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,64,1,GRETI,YN6,18/05/2019,,53,60,1,,,,,8,1,60,71,72,1,0,83,,83,,,,,,,Z066595,,0110174D11,86,85,6,0,4,2,,2,"TV34471, 473",104,MW64,,,,,,,,,,,,,,N0,,,,N0,,,,,NC/MA LOOSE,,,,,N2,,,,,EN1/CO/NP,,,,EN5/CO/NP/GRETI,,,,,EN8/WA/NP,,,,,,,,,,YN1(1)/EN7/NP,,,,,,,YN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,65,1,BLUTI,abandoned,12/05/2019,MATERIAL USED 10+,32,46,1,3.7,3,38,,12,1,49,60,62,1,,72,NA,NA,,,unk,,,,unk,,,NA,,na,na,0,12,,na,,73,MW65,,,,,,,,,,,,,,EN3/CO/NP/,,,,EN4/CO/EW3.7(3)/NP/MU(1)/MA,,,,,EN9/CO/NP/MU(5+),,,,,EN12/CO/NP/MU(5+),,,,,EN9+/FP/FX/BLUTI/MU(10+),,,,INC,,,,FP/FX/EN3+/BLUTI,FP/YN1+(1)/12:30/NO IBUTTON,NP/YN11(1)/EN1,NP/IBR(3)/9:38,,,,,,YN11,,,abandoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,66,1,GRETI,YN9,19/05/2019,,53,61,1,4.6,3,58,,9,1,61,72,73,1,0,84,83,83,,,Z066822,,0700EE0279,,Z066389,,011016FB39,87,NA,0,0,0,9+,,,,87 (DISCARDED),MW66,,,,,,,,,,,,,,NC/MA,,,,NC/MA,,,,,NC,,,,,N2,,,,,EN1/NP/CO,,,,,EN6/EW4.6(3)/NP/CO,,,,EN9/WA/NP,,,,,,,,,,,YN1(1)/EN4+/FP/FX/GRETI,,,,,,,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,67,1,,NC,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW67,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,NC,,,,,NC/MA LOOSE,,,,NC,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,70,1,BLUTI,FP/FL/EN9/BLUTI,06/05/2019,MATERIAL USED 2,58,65,1,,,,,9,1,66,77,78,1,0,88,,87,,,,,,,Y584170,,01103F4ECA,90,90,7,1,0,1,,8,Y584171-177 AND ONE NOT RINGED,104,MW70,,,,,,,,,,,,,,N0,,,,N0,,,,,NC/MA LOOSE,,,,,N1,,,,,N3/MU(1),,,,N4/MA LOOSE,,,,NP/EN4/CO/MU(2)/BLUTI,,,,EN8/CO/NP,,FP/FL/EN9/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,73,1,GRETI,YN7,23/05/2019,,57,64,1,1.7,1,57,,8,1,64,75,76,1,1,87,,,,,Z066318,,011016FA36,,Z066266,,01101719EF,90,90,6,0,6,1,,0,,104,MW73,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,NC/MA LOOSE,,,,EN1/EW1.7(1)/CO/NP,,,,,FP/EN6/FX/GRETI,,,,,,,,,,,EN5+/FP/FX,FP/FX/EN3+,EN8/NP/WA,,,,,,,,,YN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,74,1,BLUTI,YN10,13/05/2019,,42,unk,0,,,,,10?,1,49,60,67,1,0,77,NA,NA,,,,,011016CADA,,,,01103F3F0B,79,79,10,0,10,unk,,0,,104,MW74,,,,,,,,,,,,,,N4/BLUTI,MA,,,N4/BLUTI?,,,,,EN2/EW2.2(2)/CO/NP,,,,,EN7/CO/NP/BLUTI,,,,,EN8+/FP/FX/BLUTI,,,,INC,,,,FP/FX/EN3+/BLUTI,FP/FX/EN6+/BLUTI,FP/FX/EN2+,FP/EN4+/FX/BLUT,FP/FX/EN3+,FP/FX/EN5+/BLUTI,,,,,,,,YN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,75,1,GRETI,YN8,16/05/2019,MATERIAL USED 5+,48,55,1,4.8,3,53,,8,1,60,71,70,1,0,81,80,,,,Z066265,,,,Z066284,,110170740,84,83,5,0,5,3,,0,,104,MW75,,,,,,,,,,,,,,N0,,,,N3,,,,,N4/MU(5+),,,,,EN1/CO/NP/MU(5+),,,,,EN4/EW4.8(3)/CO/NP/MU(3),,,,,,NP/EN8/CO,,,FP/FX/EN3+/GRETI,,,,,,,,YN2+(1)/EN2+/12:37,,,,,,,YN8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,76,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW76,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,,,N0,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,77,1,BLUTI,11,15/05/2019,,45,55,1,3.9,3,48,,11,1,55,66,69,1,0,79,NA,NA,,,,,011016D7C4,,,,01103F58C7,81,81,11,0,11,0,,0,,104,MW77,,,,,,,,,,,,,,N4,MA,,,N4,,,,,N4,,,,,EN4/EW3.9(3)/CO/NP,,,,,EN9/CO/NP,,,,,,NP/EN11/WA,,,,NP/EN11/WA,,,FA/EN11/BLUTI,,,,FP/FX/YN6+(2),,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,78,1,,N2,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,MW78,,,,,,,,,,,,,,N0,,,,N0,,,,,N4/MA LOOSE,,,,,N2,,,,,N2/MA,,,,,,N2,,,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,79,1,,NC,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW79,,,,,,,,,,,,,,NC,MA,,,NC,,,,,NC,,,,,NC,,,,,NC,,,,NC,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,80,1,GRETI,YN8,18/05/2019,,53,60,1,1.7,1,53,,8,1,61,72,70,1,0,81,80,,,,Z066498,,110173957,,Z066576,,110175062,84,85,8,0,8,0,,0,,104,MW80,,,,,,,,,,,,,,N0,,,,NC/MA loose,,,,,N1,,,,,N3,,,,,EN1/CO.NP/EW1.7(1),,,,EN4/EW5.2(3)/CO/NP,,,,,FP/FL/EN8/GRETI,,,,,,,,,,,EN8/WA/NP,FP/YN6(1)/EN2/GRETI/FL,,,,,YN8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,82,1,BLUTI,YN11,09/05/2019,MATERIAL USED 10+,29,39,1,,,,,11,1,49,60,62,1,0,72,NA,NA,,,Z066041,,011016BF68,,Z066215,,016A792,74,74,10,0,10,1,,0,,104,MW82,,,,,,,,,,,,,,EN6/CO/NP/BLUTI?,,,,EN9/CO/MA loose/NP/BLUTI?,,,,,EN10/CO/NP/MU(10+)/NP,,,,,EN10/CO/NP,,,,,EN11/WA/FP/FA/BLUTI/MU(10+),,,,INC,,,,NP/EN11,NP/EN10/YN1(1)/12:55/NOIBUTTON,,FP/FX/IBR(2)/8:31,,,,,,YN11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,84,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW84,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,86,1,GRETI,YN9/EN0,19/05/2019,MATERIAL USED 10,51,unk,0,3.6,3,53,,9?,1,60,71,73,1,0,84,NA,NA,,,,,01103F502D,,,,011017430D,87,85,9,0,9,unk,,0,,104,MW86,,,,,,,,,,,,,,N1/MA,,,,N2,,,,,N4,,,,,N4,,,,,EN3/EW5.4(3)/CO/NP/MU(3),,,,EN6/CO/NP/MU(10),,,,,EN9?/FP/FX/GRETI,,,,,,,,,,NP/EN8,NP/YN7(1)/EN2,,,,,,,YN9/EN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,88,1,GRETI,EN1/AB5,01/05/2019,MATERIAL USED 2 - DAMAGED NEST ACCIDENT,51,,1,4.7,3,53,5,na,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,104,MW88,,,,,,,,,,,,,,N2/MA,,,,N2,,,,,N2/MA LOOSE,,,,,N3,,,,,EN3/EW4.7(3)/CO/NP/MU(2),,,,EN7/CO/NP/MU(1),,,,,EN1/AB5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,89,1,,EN1 0LD,01/05/2019,,53,53,,,,,,na,0,na,,,,,,,,,,,,,,,,,,,,,,,,,,,MW89,,,,,,,,,,,,,,N0,,,,N1/MA loose,,,,,N2,,,,,N4,,,,,EN1/CO/NP,,,,EN1/CO/NP,,,,,EN1 0LD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,90,1,,NC,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,90 (DISCARDED),MW90,,,,,,,,,,,,,,NC/MA,,,,NC,,,,,NC,,,,,NC,,,,,NC,,,,N1,,,,,NC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,91,1,,N4,01/05/2019,MATERIAL USED 10+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW91,,,,,,,,,,,,,,N0,,,,N0,,,,,N3,,,,,N4/MU(10+),,,,,N4/MU(10+),,,,N4/MU(10+),,,,,N4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,93,1,GRETI,YN5,05/05/2019,,38,44,1,1.5,1,38,,7,1,44,55,59,1,0,70,70,70,,,Z066872,,1.10E+69,,Z066785,,1.10E+07,73,73,4,0,4,3,,0,,85,MW93,,,,,,,,,,,,,,N4/MA,,,,EN1/CO/EW1.5(1),,,,,EN6/CO/NP,,,,,EN7/FP/FX/GRETI,,,,,INC,,,,EN4+/FP/FX,NP/EN7,FP/FX/EN5+/GRETI,,,,,,,YN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,101,1,BLUTI,YN9,18/05/2019,,50,59,1,3.4,3,53,,10,1,59,70,72,,0,82,NA,NA,,,,,011016D975,,,,011016BE83,84,83,9,0,9,1,,0,,104,MW101,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N3,,,,,EN4/EW3.4(3)/CO/NP/MA LOOSE,,,,FP/FX/EN8/BLUTI,,,,,,,,,NP/EN10/12:35,,,,,,NP/YN4+(2)/EN2,,,,,,,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,102,1,GRETI,YN8/YX1/EN0,04/05/2019,MATERIAL USED 1,32,40,1,5,3,38,,9,1,44,55,58,1,0,69,68,68,,,Z066568,,01101715AF,,Z066653,,011016E3A5,72,72,5,0,1,4,,4,"TV34285, 86, 87, 89 ",84,MW102,,,,,,,,,,,,,,EN3/CO/NP/GRETI,,,,EN7/CO/EW5.0(3)/NP,,,,,EN9/CO/NP,,,,,NP/EN9/WA/MU(1)/GRETI,,,,,INC,,EN3+/FP/FX,NP/EN9/WA,FP/FX/EN1+/GRETI/CIGBUTT,,NP/YN8(2)/EN0/IBR(2)/9:00,,,,,,YN8/YX1/EN0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,106,1,GRETI,YN7,16/05/2019,MATERIAL USED 1,51,57,1,3.6,3,53,,7,1,57,68,70,1,0,81,80,80,,,Z066611,,01101706A5,,Z066616,,011016FE28,84,84,7,0,7,0,,0,,104,MW106,,,,,,,,,,,,,,NC/MA,,,,NC,,,,,N3,,,,,N4,,,,,EN3/EW3.6(3)/CO/NP/MU(1),,,,FP/FX/EN7/GRETI,,,,,,,,,,,,,FP/FL/YN5?(1)/EN2/GRETI,,,,,,,YN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,111,1,BLUTI,YN8,17/05/2019,,48,57,1,,,,,10,1,57,68,71,1,1,81,NA,NA,,,,,011016DF6D,,,,011016DEDB,83,83,8,0,8,1,,0,,104,MW111,,,,,,,,,,,,,,N3,MA,,,N4,,,,,N4,,,,,EN1/CO/NP/BLUTI,,,,,EN6/CO/NP/BLUTI,,,,FP/FL/EN10/BLUTI/WA,,,,,,,,,,,,,FP/EN8?/FX,YN4/EN6/FP/FA,,,,,,,YN8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,113,1,GRETI,YN6,11/05/2019,,45,51,1,5.2,3,48,,7,1,51,62,65,1,1,76,76,76,,,Z066440,,01101715AA,,Z066618,,01101701B5,79,79,6,0,6,0,,0,,90,MW113,,,,,,,,,,,,,,N4,MA,,,N4,,,,,N4,,,,,EN4/EW5.2(3)/CO/NP,,,,,EN7/FP/FL/GRETI,,,,INC,,,,,,,FP/FX/EN5+/GRETI,NP/YN2(1)/EN5/IBI(4)/8:38,,,,,,,YN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,115,1,GRETI,YX6/ABANDONED,09/05/2019,,35,42,1,4.7,3,38,,8,1,44,55,57,1,0,68,NA,NA,,,Z066596,,011017483B,,TV34399,0110171B3A,,71,NA,,,NA,,,,,71,MW115,,,,,,,,,,,,,,N4,EN1/CO/NP/MA/GRETI,,,EN4/CO/EW4.7(3)/NP,,,,,EN8/CO/NP,,,,,EN8/WA/NP,,,,,INC,,EN2+/YN0/FP/FX,FP/EN1+/FX,FP/FX/EN1+/YN1+(1)/GRETI,,,,,,,YN8/EN0,,,,,,YX6/ABANDONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,129,1,GRETI,YN9,11/05/2019,,41,49,1,5.2,3,43,,9,1,49,60,64,1,0,75,75,75,,,Z066302,,01103F4609,,Z066557,110172636,,78,78,9,0,9,0,,0,,90,MW129,,,,,,,,,,,,,,N0,,,,N4/MA loose,,,,,EN3/EW5.2(3)/CO/NP,,,,,EN8/CO/NP,,,,,EN?/FP/FX/GRETI,,,,EN9/WA/NP,,,,FP/FX/EN4+/GRETI,FP/FX/EN3+/GRETI,,,,,,,,,,YN9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,131,1,BLUTI,YN7,20/05/2019,,55,61,1,,,,,7,1,61,72,74,1,0,84,NA,NA,,,,,011016CAC8,,,011016E37C,,86,85,7,0,7,0,,0,,104,MW131,,,,,,,,,,,,,,N0,,,,N1/MA loose,,,,,N2,,,,,N3,,,,,N4,,,,,,EN5/CO/NP/BLUTI,,,NP/EN7/WA/BLUTI,,,,,,,,,,,FP/FL/EN7/BLUTI,FP/YN1+(1)/EN1+/FX,,,,,,,YN7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MW,138,,,N0,01/05/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MW138,,,,,,,,,,,,,,N0,,,,N0,,,,,N0,,,,,N0,,,,,N0,,,,N0,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,140,1,GRETI,YN3,13/05/2019,,38,43,1,1.8,1,38,,6,1,44,55,60,1,0,71,71,72,,,TV34250,,011017319D,,TV34364,011016ED44,,74,74,3,0,3,3,,0,,104,MW140,,,,,,,,,,,,,,N3,MA,,,EN1/CO/EW1.8(1)/NP,,,,,EN6/CO/NP,,,,,EN6/FP/FX/GRETI,,,,,INC,,EN6/NP/WA,FP/EN2+/FX,EN3+/FP/FX,NP/EN6/WA,FP/FX/EN5+/GRETI,FP/FX?YN1(1)/EN2+/IBI(2)/9:36,,,,,,,YN5,,,,,,,YN3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,141,1,BLUTI,YN6,14/05/2019,MATERIAL USED 2,49,57,1,,,,,9,1,54,65,68,1,3,78,NA,NA,,,,,011016AD9B,,,011016DF55,,80,80,6,0,6,0,,0,,104,MW141,,,,,,,,,,,,,,N4,MA,,,N4,,,,,N4,,,,,N4/MU(2),,,,,EN5/CO/NP/BLUTI,,,,FP/FX/BLUTI,,,,,,,,NP/EN9/WA,,FP/EN4+/FX/BLUTI,,,,,,,,YN6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,142,1,BLUTI,YN10,11/05/2019,,34,44,1,3.4,3,38,,11,1,49,60,65,1,1,75,NA,NA,,,,,011016D1F2,,,011016B611,,77,77,10,0,10,0,,0,,104,MW142,,,,,,,,,,,,,,EN1/CO/NP/BLUTI?,,,,EN5/CO/EW3.4(3)/NP,,,,,EN9/CO/NP,,,,,EN11/CO/NP,,,,,EN?/FP/FX/BLUTI,,,,INC,,,,FP/FX/EN8+/BLUTI,FP/FX/EN4+/BLUTI,FP/FX/EN3+/BLUTI,FP/EN5+/FX/BLUT,FP/YN1(1)/EN2+/FX/BLUTI,,,,,,,YN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,MW,143,1,BLUTI,YN10,17/05/2019,,50,unk,0,,,,,10?,1,58,69,72,1,0,82,NA,NA,,,,,01103F6598,,,01103F8C85,,84,84,10,0,10,unk,,0,,104,MW143,,,,,,,,,,,,,,N4,MA,,,N4,,,,,N4,,,,,N4,,,,,EN4/CO/NP/BLUTI?,,,,EN8/CO/NP/BLUTI,,,,,FP/FX/BLUTI,,,,,,,,FP/FX/EN3+/BLUTI,,FP/YN1+(1)/FX,,,,,,YN10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
